epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5529,1.76127,3.63595,1.67703,0.34561,0.04573,0.00381,0.00199,2.38255,19.3995,2.02134,0.000468651,0.000468651,0.000468651
2,113.877,1.51546,1.44685,1.46972,0.3577,0.45343,0.31427,0.16959,1.58519,3.94664,1.54508,0.000929392,0.000929392,0.000929392
3,159.12,1.42812,1.21449,1.35034,0.84321,0.51325,0.57826,0.34187,1.40355,1.85456,1.5236,0.00137441,0.00137441,0.00137441
4,205.402,1.40511,1.15662,1.34551,0.58916,0.64812,0.6216,0.37041,1.3742,2.04799,1.3787,0.00135826,0.00135826,0.00135826
5,250.744,1.35952,1.04752,1.3149,0.91286,0.60151,0.73346,0.47527,1.25837,1.12756,1.28746,0.00133469,0.00133469,0.00133469
6,296.183,1.30069,0.97006,1.28914,0.78853,0.78694,0.84453,0.56668,1.15024,1.04305,1.22325,0.00131111,0.00131111,0.00131111
7,340.951,1.25165,0.87945,1.25186,0.69564,0.77484,0.77822,0.50393,1.27171,0.83678,1.26502,0.00128753,0.00128753,0.00128753
8,383.19,1.21396,0.83057,1.21904,0.84574,0.74938,0.81641,0.41627,1.63562,1.05666,1.48139,0.00126395,0.00126395,0.00126395
9,426.222,1.21077,0.82877,1.22531,0.81091,0.65258,0.75889,0.43326,1.38272,0.88705,1.32798,0.00124037,0.00124037,0.00124037
10,469.222,1.1758,0.77951,1.19522,0.89602,0.79379,0.85268,0.54141,1.1646,0.7167,1.18785,0.00121679,0.00121679,0.00121679
11,511.806,1.16139,0.74678,1.17611,0.93094,0.81056,0.88566,0.63766,1.02422,0.59331,1.11847,0.00119322,0.00119322,0.00119322
12,556.125,1.11468,0.69018,1.17611,0.80034,0.85895,0.87628,0.55839,1.27591,0.66621,1.25379,0.00116964,0.00116964,0.00116964
13,599.472,1.10408,0.68303,1.15824,0.89498,0.86278,0.91769,0.6601,0.99529,0.55263,1.10446,0.00114606,0.00114606,0.00114606
14,644.037,1.09397,0.72739,1.15001,0.81688,0.89363,0.8987,0.61927,1.07509,0.61346,1.13767,0.00112248,0.00112248,0.00112248
15,686.962,1.07742,0.66197,1.14737,0.8347,0.9015,0.90391,0.58274,1.1076,0.57936,1.15131,0.0010989,0.0010989,0.0010989
16,729.981,1.07243,0.64385,1.12779,0.96501,0.83335,0.88913,0.65933,0.95125,0.53635,1.06344,0.00107532,0.00107532,0.00107532
17,773.304,1.04824,0.61513,1.11679,0.89084,0.8706,0.91959,0.66672,0.98544,0.52274,1.06903,0.00105174,0.00105174,0.00105174
18,818.861,1.02779,0.59386,1.11396,0.89238,0.91665,0.93457,0.67904,0.97752,0.47932,1.08151,0.00102817,0.00102817,0.00102817
19,864.514,1.02329,0.59652,1.11747,0.87234,0.88389,0.9241,0.6675,1.01138,0.52429,1.10218,0.00100459,0.00100459,0.00100459
20,908.239,1.00599,0.58571,1.10738,0.88288,0.87001,0.92177,0.68363,0.91409,0.5111,1.04824,0.000981008,0.000981008,0.000981008
21,953.601,0.98838,0.5661,1.09535,0.86299,0.93307,0.93706,0.68291,0.97855,0.49034,1.08421,0.00095743,0.00095743,0.00095743
22,997.742,0.96869,0.55808,1.08011,0.91005,0.86114,0.9119,0.6487,1.01567,0.5354,1.09371,0.000933851,0.000933851,0.000933851
23,1040.62,0.97003,0.55419,1.0804,0.94858,0.88941,0.94068,0.71007,0.88934,0.45698,1.03688,0.000910273,0.000910273,0.000910273
24,1085.86,0.97235,0.55744,1.07407,0.92481,0.89876,0.93749,0.71662,0.85031,0.44603,1.01267,0.000886694,0.000886694,0.000886694
25,1130.61,0.94948,0.54709,1.06693,0.93142,0.93582,0.95613,0.68894,0.96014,0.48856,1.06665,0.000863116,0.000863116,0.000863116
26,1173.38,0.92319,0.52174,1.03468,0.91934,0.9249,0.94437,0.70847,0.86713,0.4483,1.02631,0.000839537,0.000839537,0.000839537
27,1215.11,0.89473,0.50902,1.03049,0.96724,0.89384,0.9566,0.7326,0.83874,0.45805,1.00164,0.000815959,0.000815959,0.000815959
28,1259.88,0.91101,0.51806,1.04728,0.88133,0.89384,0.93789,0.69532,0.887,0.44935,1.03295,0.00079238,0.00079238,0.00079238
29,1302.75,0.90005,0.50545,1.03754,0.91833,0.91166,0.95401,0.71935,0.85237,0.43059,1.01316,0.000768802,0.000768802,0.000768802
30,1346.12,0.91843,0.51515,1.04764,0.90138,0.93298,0.95988,0.73144,0.86301,0.44101,1.01351,0.000745223,0.000745223,0.000745223
31,1389.19,0.89368,0.49961,1.03338,0.94377,0.90523,0.95259,0.71831,0.86605,0.43695,1.01427,0.000721645,0.000721645,0.000721645
32,1432.36,0.88061,0.49662,1.03091,0.95846,0.89642,0.95627,0.71874,0.83023,0.42568,1.00874,0.000698066,0.000698066,0.000698066
33,1475.86,0.88163,0.48106,1.02149,0.95356,0.9067,0.95281,0.72263,0.85172,0.41453,1.00369,0.000674488,0.000674488,0.000674488
34,1519.11,0.85409,0.46785,1.00795,0.95758,0.91836,0.9656,0.74659,0.80307,0.38973,0.9815,0.000650909,0.000650909,0.000650909
35,1564.13,0.84627,0.46644,1.00913,0.92928,0.95104,0.96996,0.7582,0.81255,0.3847,0.98196,0.000627331,0.000627331,0.000627331
36,1609.01,0.84651,0.46736,1.01538,0.97849,0.90529,0.96539,0.75509,0.80588,0.39286,0.98249,0.000603752,0.000603752,0.000603752
37,1650.93,0.83402,0.45115,1.00451,0.9454,0.93706,0.96562,0.74804,0.81262,0.40414,0.98919,0.000580174,0.000580174,0.000580174
38,1693.95,0.81933,0.45401,0.9957,0.97819,0.90264,0.96215,0.75813,0.78483,0.38188,0.96947,0.000556595,0.000556595,0.000556595
39,1736.93,0.81783,0.44815,1.00513,0.9728,0.90837,0.95838,0.75523,0.78862,0.38305,0.98534,0.000533017,0.000533017,0.000533017
40,1779.56,0.80449,0.43855,0.98601,0.98618,0.91778,0.97223,0.7677,0.76494,0.36478,0.96378,0.000509438,0.000509438,0.000509438
41,1823.74,0.82032,0.44061,0.99661,0.96259,0.95587,0.97956,0.76775,0.78363,0.36732,0.97506,0.00048586,0.00048586,0.00048586
42,1868.57,0.78619,0.43475,0.98535,0.96112,0.94118,0.96877,0.76752,0.77961,0.37294,0.9723,0.000462281,0.000462281,0.000462281
43,1911.82,0.79159,0.42424,0.97436,0.9913,0.92865,0.98123,0.77614,0.75782,0.35788,0.96023,0.000438703,0.000438703,0.000438703
44,1956.85,0.78319,0.41053,0.98354,0.97619,0.91722,0.97742,0.77438,0.75186,0.35497,0.95812,0.000415124,0.000415124,0.000415124
45,1998.36,0.76601,0.41337,0.96868,0.98953,0.90965,0.97826,0.77725,0.76685,0.35534,0.96264,0.000391546,0.000391546,0.000391546
46,2048.54,0.72274,0.36644,0.94818,0.99004,0.91037,0.97592,0.77719,0.74793,0.35315,0.95696,0.000367967,0.000367967,0.000367967
